Stop, City, State, latitude, longitude,city-state
31, Villa Rica, Georgia,33.732781,-84.920128,"' Villa Rica,  Georgia'"
32, Tupelo, Mississippi,34.257408,-88.707832,"' Tupelo,  Mississippi'"
33, Bryant, Arkansas,34.592030,-92.489594,"' Bryant,  Arkansas'"
34, Mt Pleasant, Texas,33.157101,-94.968552,"' Mt Pleasant,  Texas'"
35, Weatherford, Texas,32.758991,-97.800797,"' Weatherford,  Texas'"
36, Big Springs, Texas,32.067402,-94.967400,"' Big Springs,  Texas'"
37, Carlsbad, New Mexico,32.418591,-104.229019,"' Carlsbad,  New Mexico'"
38, Ruidosa, New Mexico,33.333698,-105.680061,"' Ruidosa,  New Mexico'"
39, Willcox, Arizona,32.253140,-109.832077,"' Willcox,  Arizona'"
40, Dateland, Arizona,32.799599,-113.540932,"' Dateland,  Arizona'"
41, El Cajon, California,32.794949,-116.959473,"' El Cajon,  California'"
42, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
43, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
44, El Centro, California,32.795799,-115.569969,"' El Centro,  California'"
45, LaQuinta, California,33.678139,-116.295380,"' LaQuinta,  California'"
46, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
47, Santa Cleritos, California,33.868542,-118.063698,"' Santa Cleritos,  California'"
48, Santa Nella, California,37.100140,-121.015839,"' Santa Nella,  California'"
49, Cloverdale, California,38.806099,-123.017708,"' Cloverdale,  California'"
50, Klamath, California,41.531551,-124.041260,"' Klamath,  California'"
51, Healdsburg, California,38.610642,-122.868828,"' Healdsburg,  California'"
52, San Louis Obispo, California,35.285519,-120.662521,"' San Louis Obispo,  California'"
53, Laguna Hills, California,33.601749,-117.690338,"' Laguna Hills,  California'"
54, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
55, Ludlow, California,34.726528,-116.163139,"' Ludlow,  California'"
56, Ash Fork, Arizona,35.223900,-112.481422,"' Ash Fork,  Arizona'"
57, Gallup, New Mexico,35.527840,-108.743561,"' Gallup,  New Mexico'"
