"key","species","family","recordedBy","recordNumber","eventDate","year","catalogNumber","institutionCode","collectionCode","collector","inst_norm","rn"
"5956165561","Modiola caroliniana","Malvaceae","Clarke, G.; Cuddihy, L.W.; Kubo, R.; Yoshida, L.","ESP 128","1979-09-20",1979,"770290","BISH",,"Clarke","Bishop Museum","esp128"
"5956411532","Cocculus orbiculatus","Menispermaceae","Cuddihy, L.W.; State ESP team","175","1980-01-31",1980,"770325","BISH",,"Cuddihy","Bishop Museum","175"
"5956593827","Psidium guajava","Myrtaceae","Kubo, R.","59","1980-05-20",1980,"770375","BISH",,"Kubo","Bishop Museum","59"
"5956544473","Rumex acetosella","Polygonaceae","Davis, J.; State ESP team","191","1980-01-08",1980,"770497","BISH",,"Davis","Bishop Museum","191"
"5956554270","Pyracantha koidzumii","Rosaceae","Cuddihy, L.W.; State EPS team","82","1979-12-20",1979,"770507","BISH",,"Cuddihy","Bishop Museum","82"
"5956619100","Fragaria vesca","Rosaceae","Cuddihy, L.W.; State ESP team","51","1979-12-18",1979,"770510","BISH",,"Cuddihy","Bishop Museum","51"
"5956651705","Physalis peruviana","Solanaceae","Davis, J.; State ESP team","186","1980-01-08",1980,"770675","BISH",,"Davis","Bishop Museum","186"
"5956161272","Pipturus albidus","Urticaceae","Cuddihy, L.W.; State ESP team","188","1980-02-07",1980,"770717","BISH",,"Cuddihy","Bishop Museum","188"
"5956634583","Stachytarpheta cayennensis","Verbenaceae","Cuddihy, L.W.; State ESP team","119","1980-01-08",1980,"770735","BISH",,"Cuddihy","Bishop Museum","119"
"1091136102","Dodonaea viscosa","Sapindaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464459","CHR","CHR","Sykes","CHR",
"1091279536","Pipturus albidus","Urticaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464460 A","CHR","CHR","Sykes","CHR",
"1091221433","Pipturus albidus","Urticaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464460 B","CHR","CHR","Sykes","CHR",
"1091096693",,"Pittosporaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464461","CHR","CHR","Sykes","CHR",
"1091192079",,"Amaranthaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464462","CHR","CHR","Sykes","CHR",
"1091324498","Nestegis sandwicensis","Oleaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464463","CHR","CHR","Sykes","CHR",
"1091269634","Alphitonia ponderosa","Rhamnaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464467 A","CHR","CHR","Sykes","CHR",
"5069611313","Alphitonia ponderosa","Rhamnaceae","Bill Sykes",,"1989-03-28",1989,"CHR 464467 B","CHR","CHR","Sykes","CHR",
"2242404039","Sophora chrysophylla","Fabaceae","Otto Degener","10934","1929-07-09",1929,"KHD00009805","DBG","KHD","Degener","DBG","10934"
"5912076773","Myoporum sandwicense","Scrophulariaceae","Cliff Morden; Lahela Camara","2618","2024-07-19",2024,"HAW55138","HAW",,"Morden","HAW","2618"
"5070652840","Sapindus saponaria","Sapindaceae","Otto Degener; Isa Degener","34434","1977-09-18",1977,"IND-0079456","IND",,"Degener","IND","34434"
"5070648998","Sapindus saponaria","Sapindaceae","Otto Degener; Isa Degener","34434","1977-09-18",1977,"IND-0079457","IND",,"Degener","IND","34434"
"5070652823","Dodonaea viscosa","Sapindaceae","Otto Degener","31115","1967-01-29",1967,"IND-0080229","IND",,"Degener","IND","31115"
"5130152569","Stenogyne rotundifolia","Lamiaceae","Bulmer, C.","269","1975-03-01T00:00",1975,"K001196440","K","Herbarium","Bulmer","K","269"
"694640788","Sapindus saponaria","Sapindaceae","Forbes, C.N.",,"1915-07-01",1915,"P05188070","MNHN","P","Forbes","MNHN",
"6289241534","Ceodes brunoniana","Nyctaginaceae","Professor Grady Webster Junior|Professor Robert Wilbur","1790","1948-06-18",1948,"SP059017","NMNZ","WELT","Wilbur","NMNZ","1790"
"4520863137","Coprosma menziesii","Rubiaceae","John Dawson",,"1997-12-03",1997,"SP102253","NMNZ","WELT","Dawson","NMNZ",
"4520871324",,"Rubiaceae","John Dawson",,"1997-12-03",1997,"SP102255","NMNZ","WELT","Dawson","NMNZ",
"4520736118","Metrosideros polymorpha","Myrtaceae","John Dawson",,"1997-12-03",1997,"SP110323","NMNZ","WELT","Dawson","NMNZ",
"4520736929","Metrosideros polymorpha","Myrtaceae","John Dawson",,"1997-12-03",1997,"SP110324","NMNZ","WELT","Dawson","NMNZ",
"4520850291","Metrosideros polymorpha","Myrtaceae","John Dawson",,"1997-12-03",1997,"SP110343","NMNZ","WELT","Dawson","NMNZ",
"5906963611","Perrottetia sandwicensis","Dipentodontaceae","Professor Grady Webster Junior|Professor Robert Wilbur","GLW 1788","1948-06-18",1948,"SP125738","NMNZ","WELT","Wilbur","NMNZ","glw1788"
"5938780333",,"Scrophulariaceae","Otto Degener|Isa (Irmgard) Degener","31956 b","1969-06-09",1969,"SP126392","NMNZ","WELT","Degener","NMNZ","31956b"
"5938779477","Myrsine lessertiana","Primulaceae","Joseph Rock",,"1948-06-18",1948,"SP127110","NMNZ","WELT","Rock","NMNZ",
"6289255475","Psychotria hawaiiensis","Rubiaceae","Joseph Rock","8779","1911-04",1911,"SP127827","NMNZ","WELT","Rock","NMNZ","8779"
"6289242444","Psychotria hawaiiensis","Rubiaceae","Joseph Rock","8779 A","1915-08",1915,"SP127829","NMNZ","WELT","Rock","NMNZ","8779a"
"1928567891","Solanum pseudocapsicum","Solanaceae","O. Degener","7374",,,"00828244","NY","NY","Degener","NY","7374"
"1929169526","Peperomia cookiana","Piperaceae","K. H. Thorne","7201","1989-08-10",1989,"179994","NY","NY","Thorne","NY","7201"
"1927879332","Peperomia cookiana","Piperaceae","T. G. Yuncker","3473","1933-03-09",1933,"180019","NY","NY","Yuncker","NY","3473"
"1930051621","Peperomia cookiana","Piperaceae","T. G. Yuncker","3473","1933-03-09",1933,"180020","NY","NY","Yuncker","NY","3473"
"1928075593","Achillea millefolium","Asteraceae","O. Degener","18325","1929-12-07",1929,"216597","NY","NY","Degener","NY","18325"
"1930638740","Hibiscadelphus giffardianus","Malvaceae","O. Degener","3909","1930-04-15",1930,"221720","NY","NY","Degener","NY","3909"
"1929392173","Hibiscadelphus giffardianus","Malvaceae","J. K. Baker","s.n.","1975-10-14",1975,"37506","NY","NY","Baker","NY","sn"
"1930408787","Hibiscadelphus giffardianus","Malvaceae","J. K. Baker","s.n.","1975-10-14",1975,"37507","NY","NY","Baker","NY","sn"
"1928881444","Hibiscadelphus giffardianus","Malvaceae","J. K. Baker","s.n.","1975-12-08",1975,"37508","NY","NY","Baker","NY","sn"
"1930529648","Hibiscadelphus hualalaiensis","Malvaceae","J. K. Baker","s.n.","1975-12-03",1975,"37518","NY","NY","Baker","NY","sn"
