"accepted_name","genus","family","class","n_records","rank","det_conflict","lifeform","lifeform_source","gift_status","wagner_status","status_agree"
"Lachnagrostis filiformis","Lachnagrostis","Poaceae","Liliopsida",2,"species","","graminoid","clade","introduced","Nat",TRUE
"Lolium multiflorum","Lolium","Poaceae","Liliopsida",1,"species","","graminoid","clade",,"Nat",
"Melinis minutiflora","Melinis","Poaceae","Liliopsida",3,"species","","graminoid","clade","introduced","Nat",TRUE
"Melinis repens","Melinis","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Microlaena stipoides","Microlaena","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Schizachyrium condensatum","Schizachyrium","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Schizachyrium microstachyum","Schizachyrium","Poaceae","Liliopsida",1,"species","","graminoid","clade",,"Nat",
"Setaria parviflora","Setaria","Poaceae","Liliopsida",2,"species","","graminoid","clade","introduced","Nat",TRUE
"Sporobolus indicus","Sporobolus","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Stenotaphrum secundatum","Stenotaphrum","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Persicaria punctata","Persicaria","Polygonaceae","Magnoliopsida",1,"species","","herb","gift-species","introduced","I",FALSE
"Rumex acetosella","Rumex","Polygonaceae","Magnoliopsida",2,"species","","herb","gift-species","introduced","Nat",TRUE
"Grammitis sp.","Grammitis","Polypodiaceae","Polypodiopsida",1,"genus","","fern","clade",,,
"Lepisorus thunbergianus","Lepisorus","Polypodiaceae","Polypodiopsida",2,"species","","fern","clade","indigenous","I",TRUE
"Myrsine lessertiana","Myrsine","Primulaceae","Magnoliopsida",3,"species","","tree","gift-species","endemic","E",TRUE
"Pellaea ternifolia","Pellaea","Pteridaceae","Polypodiopsida",1,"species","","fern","clade",,"I",
"Pityrogramma calomelanos","Pityrogramma","Pteridaceae","Polypodiopsida",1,"species","","fern","clade","introduced","Nat",TRUE
"Pteris cretica","Pteris","Pteridaceae","Polypodiopsida",1,"species","","fern","clade","introduced","I",FALSE
"Eriocapitella hupehensis","Eriocapitella","Ranunculaceae","Magnoliopsida",1,"species","conflict","herb","gift-species","introduced",,
"Alphitonia ponderosa","Alphitonia","Rhamnaceae","Magnoliopsida",2,"species","","tree","gift-species","endemic","E",TRUE
"Fragaria vesca","Fragaria","Rosaceae","Magnoliopsida",2,"species","","herb","gift-species","introduced","Nat",TRUE
"Pyracantha koidzumii","Pyracantha","Rosaceae","Magnoliopsida",2,"species","conflict","shrub","gift-species","introduced","Nat",TRUE
"Rubus ellipticus","Rubus","Rosaceae","Magnoliopsida",1,"species","","shrub","gift-species","introduced","Nat",TRUE
"Coprosma ernodeoides","Coprosma","Rubiaceae","Magnoliopsida",1,"species","","shrub","gift-species","endemic","E",TRUE
"Coprosma menziesii","Coprosma","Rubiaceae","Magnoliopsida",1,"species","","shrub","gift-genus","endemic","E",TRUE
"Coprosma ochracea","Coprosma","Rubiaceae","Magnoliopsida",1,"species","","shrub","gift-genus","endemic","E",TRUE
"Coprosma rhynchocarpa","Coprosma","Rubiaceae","Magnoliopsida",2,"species","","shrub","gift-genus","endemic","E",TRUE
"Coprosma sp.","Coprosma","Rubiaceae","Magnoliopsida",1,"genus","","shrub","gift-genus",,"E",
"Kadua centranthoides","Kadua","Rubiaceae","Magnoliopsida",1,"species","","shrub","gift-species","endemic","E",TRUE
"Psychotria hawaiiensis","Psychotria","Rubiaceae","Magnoliopsida",3,"species","","tree","gift-species","endemic","E",TRUE
"Melicope cinerea","Melicope","Rutaceae","Magnoliopsida",1,"species","","tree","gift-genus","endemic","E",TRUE
"Melicope pseudoanisata","Melicope","Rutaceae","Magnoliopsida",6,"species","","tree","gift-genus","endemic","E",TRUE
"Zanthoxylum dipetalum","Zanthoxylum","Rutaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic","E",TRUE
"Dodonaea viscosa","Dodonaea","Sapindaceae","Magnoliopsida",4,"species","","tree","gift-species","introduced","I",FALSE
"Sapindus oahuensis","Sapindus","Sapindaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic","E",TRUE
"Sapindus saponaria","Sapindus","Sapindaceae","Magnoliopsida",4,"species","","tree","gift-species","indigenous","I",TRUE
"Buddleja asiatica","Buddleja","Scrophulariaceae","Magnoliopsida",2,"species","","shrub","gift-species","introduced","Nat",TRUE
"Myoporum sandwicense","Myoporum","Scrophulariaceae","Magnoliopsida",2,"species","","tree","gift-species","indigenous","I",TRUE
"Myoporum sp.","Myoporum","Scrophulariaceae","Magnoliopsida",1,"genus","","shrub","gift-genus",,,
"Physalis peruviana","Physalis","Solanaceae","Magnoliopsida",2,"species","","herb","gift-species","introduced","Nat",TRUE
"Solanum americanum","Solanum","Solanaceae","Magnoliopsida",1,"species","","herb","gift-species","indigenous","I",TRUE
"Solanum pseudocapsicum","Solanum","Solanaceae","Magnoliopsida",1,"species","","shrub","gift-species","introduced","Nat",TRUE
"Wikstroemia sandwicensis","Wikstroemia","Thymelaeaceae","Magnoliopsida",3,"species","","shrub","gift-genus","endemic","E",TRUE
"Pipturus albidus","Pipturus","Urticaceae","Magnoliopsida",5,"species","","tree","gift-species","endemic","E",TRUE
"Stachytarpheta cayennensis","Stachytarpheta","Verbenaceae","Magnoliopsida",3,"species","","herb","gift-species","introduced",,
"Verbena litoralis","Verbena","Verbenaceae","Magnoliopsida",1,"species","","herb","gift-species","introduced","Nat",TRUE
