key,scientificName,family,recordedBy,recordNumber,eventDate,verbatimEventDate,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,verbatimElevation,habitat,reproductiveCondition,occurrenceRemarks,fieldNotes,identifiedBy,dateIdentified,typeStatus,institutionCode,collectionCode,catalogNumber,preparations
2828888221,Metrosideros perforata (J.R.Forst. & G.Forst.) A.Rich.,Myrtaceae,"Gardner, R.O.",868,1974-03-22,1974-03-22,NZ,,,"Spragg's Bush, Waitakere Rge.",,,,,185.0,,,,Climbing on tree fern in sun. [600'],,"Gardner, R.O.",,,CANB,CANB,CBG 7807065.1,sheet
2830652394,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,"Gardner, R.O.",867,1974-03-22,1974-03-22,NZ,,,"Spragg's Bush, Waitakere Rge.",,,,,185.0,,,,"Climbing on tree fern in sub, orage-red flrs. [600']",,"Gardner, R.O.",,,CANB,CANB,CBG 7807060.1,sheet
4977544330,Metrosideros collina (Forst.) A.Gray,Myrtaceae,"Bernardi, L.",13134,1968-05-21T00:00,,VU,,,"Novae Ebudae, Tanna: In silva montana",,,,,725.0,,,,,,,,,K,Herbarium,K004400161,
4977547272,Metrosideros collina (Forst.) A.Gray,Myrtaceae,"Bernardi, L.",13155,1968-05-22T00:00,,VU,,,"Novae Ebudae, Tanna; Monte Toukousméren",,,,,1017.0,,,,,,,,,K,Herbarium,K004400162,
4977557284,Metrosideros collina (Forst.) A.Gray,Myrtaceae,"Bernardi, L.",13154,1968-05-22T00:00,,,,,"Novae Ebudae, Tanna; Monte Toukousméren",,,,,1017.0,,,,,,,,,K,Herbarium,K004400155,
5956318328,Metrosideros polymorpha var. polymorpha,Myrtaceae,"Little Jr., E.L.",23033,1968-05-31,31-May-68,US,Hawaii,,"Slopes of Mauna loa, 25 mi SW of Hilo",,19.45,-155.333333,,1524.0,5000 ft,Metrosideros forest.,,"Tree 50 ft., 18 in. diam. Leaves white hairy beneath. Stamens orange red.",,"Wagner, W.L.; Herbst, D.R.; Sohmer, S.H.",1989-01-01T00:00:00,NotAType,BISH,,439523,
5956319525,Metrosideros polymorpha Gaudich.,Myrtaceae,"Little Jr., E.L.",23023,1968-05-30,30-May-68,US,Hawaii,,Waimea Canyon Hwy,,,,,,,,,medium tree; stamen red,,"Herbst, D.R.; Sohmer, S.H.; Wagner, W.L.",1989-01-01T00:00:00,NotAType,BISH,,439520,
5956354496,Metrosideros polymorpha Gaudich.,Myrtaceae,"Little Jr., E.L.",23016,1968-05-28,28-May-68,US,Hawaii,,"Kawailoa FR, Koolau Mts",,,,,457.0,1500 ft,Acacia koa,,10' shrub; small leaves,,"Herbst, D.R.; Sohmer, S.H.; Wagner, W.L.",1989-01-01T00:00:00,NotAType,BISH,,439517,
5956563321,Metrosideros polymorpha Gaudich.,Myrtaceae,"Little Jr., E.L.",23015,1968-05-28,28-May-68,US,Hawaii,,"Kawailoa FR, Koolau Mts",,,,,457.0,1500 ft,Acacia koa,,"15' x 6"" tree; filaments red",,"Herbst, D.R.; Sohmer, S.H.; Wagner, W.L.",,NotAType,BISH,,439504,
37568815,Metrosideros polymorpha Gaudich.,Myrtaceae,"Webster, G.L. Gankin, R.; Herbst, D.",Collector Number: 13911,1968-06-25,25 Jun 1968,US,Hawaii,,"East Maui, Hana District, Auwahi","[Hawaiian Islands; U.S.A.; Maui; Hawai`i; E Maui; Hana Distr., Auwahi.]",20.6333,-156.317,,,975 m,Dry forest on aa.,,Tree 7 m; yellow-fl. variant.,,J.W.Dawson,1999-10-01T00:00:00,,BPBM,BISH,603924,
694492946,Metrosideros vitiensis (A.Gray) Pillon,Myrtaceae,"Bernardi, L.",,1968-06-03,,VU,Taféa,,,"Novae Ebudae, Erromanga: de Baie Dillon (Oupongkor) in parte occidentali insulae, ad silvam pedemontanam montis Menel, per clivos ad orientem rivi Nével,",-18.77516,169.05075,,,,,,,13261,Pillon,,,MNHN,P,P05264832,hb
694530863,Metrosideros vitiensis (A.Gray) Pillon,Myrtaceae,"Bernardi, L.",,1968-06-08/1968-06-15,,VU,Taféa,,,"Novae Ebudae, Erromanga. ad montem Wablo",-18.73333,169.06667,,,,,,,13356,Pillon,,,MNHN,P,P05264831,hb
1090289727,Metrosideros collina (Forst.) A.Gray,Myrtaceae,"Bristol, M.L.",Collector Number: 2165,1968-06-28,28 Jun 1968,WS,,,far inland from Aopo.  Base Line 4 of Division of Forestry 1968 Forest Survey.,WESTERN SAMOA,,,,,3150 ft,Primary forest.,,Tree 10 m.,,,,,BPBM,BISH,28698,
1091148598,Metrosideros umbellata Cav.,Myrtaceae,Margaret Jane Annand Simpson,,1962-03-03,3-MAR-1962,NZ,Southland Land District,,,"Fiordland, Dusky Sound, Supper Cove",-45.677963,166.981509,,,,Forest.,,,,Margaret J.A. Simpson,,,CHR,CHR,CHR 176702,
1091262308,Metrosideros umbellata Cav.,Myrtaceae,Victor Dmitrievich Zotov,,1962-03-03,3-MAR-1962,NZ,Southland Land District,,,"Fiordland, Dusky Sound, Supper Cove",-45.677963,166.981509,,,,Landing near head of cove.,,,,,,,CHR,CHR,CHR 176680,
1091282790,Metrosideros perforata (J.R.Forst. & G.Forst.) A.Rich.,Myrtaceae,Tony Druce,,1962-03,March 1962,NZ,Taranaki Land District,,,Pouakai Ra.,-39.239059,174.018534,,548.64,1800',Forest.,,,,Anthony P. Druce,1962-03-01T00:00:00,,CHR,CHR,CHR 116757,
1091287427,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,Tony Druce,,1962-03-08,8-MAR-1962,NZ,Taranaki Land District,Egmont,,"Egmont National Park, Stony river",-39.255854,173.969449,,457.0,457,Forest.,,,,Anthony P. Druce,1962-03-08T00:00:00,,CHR,CHR,CHR 116690,
1836741367,Metrosideros colensoi Hook.fil.,Myrtaceae,Ronald Melville|Elsie Frances Melville|Ian Athol Edward Atkinson|Eric J. Godley,6723,1962-03-16,16.3.1962,NZ,Wellington Land District,,,"Lower Ohakune Mt. Road, on lower slopes of Mt. Ruapehu, Waimarino Co., Wellington",-39.395,175.422,,670.56,2200 ft,In Rimu forest with Weinmannia & Gymnolaea,,,,,,,CHR,CHR,CHR 144345,
1838080740,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,Ronald Melville|Elsie Frances Melville|Ian Athol Edward Atkinson|Eric J. Godley,,1962-03-16,16.3.1962,NZ,Wellington Land District,,,"Lower Ohakune Mt. Road, on lower slopes of Mt. Ruapehu, Waimarino Co., Wellington",-39.395,175.422,,670.56,2200 ft,In Rimu forest with Weinmannia and Gymnelaea,,,,,,,CHR,CHR,CHR 144344,
1897731693,Metrosideros perforata (J.R.Forst. & G.Forst.) A.Rich.,Myrtaceae,R & E F Melville|W M Hamilton,,1962-03-06,,NZ,,,,"New Zealand, Coromandel Ecological Region, Little Barrier Ecological District, Little Barrier Island, Summit Track",-36.25,175.083333,,,240m,,,,,,,,AK,AK,AK155479,
1897752193,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,R Melville|W M Hamilton,,1962-03-06,,NZ,,,,"New Zealand, Coromandel Ecological Region, Little Barrier Ecological District, Little Barrier Island, Summit Track",-36.25,175.083333,,,510m,,,,,,,,AK,AK,AK155498,
1897768932,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,R & E F Melvile|I Atkinson|E J Godley,,1962-03-16,,NZ,,,,"New Zealand, North Island, Tongariro Ecological Region and District, Lower Ohakune Mountain Road, on lower slopes of Mount Ruapehu",-39.416667,174.916667,,,,,,,,,,,AK,AK,AK156124,
